"brand","manufacturer","origin","categoryLabel","categoryBceCompatible","combustibleLabel","series","subSeries","name","sourceUrl","puissanceNominaleKw","consommationW","dimensionsVitre","doubleFace","configurationAngle","nombreFacesVitrees","mobile","nouveaute","technologies","imageUrl","availabilityForBce"
"Fondis","Fondis","France — Vieux-Thann (Alsace)","Cheminées contemporaines","","Bois + pompe à chaleur","Hybride","Cheminée Hybride","Cheminée Hybride","https://fondis.com/cheminees-contemporaines/cheminee-hybride/","","","","False","False","","False","False","Pompe à chaleur air/eau intégrée, Foyer bois Fondis, Supervision à distance, Régulation automatique","https://fondis.com/wp-content/themes/wigomedia/img/icon-saisons.png","propose"
"Fondis","Fondis","France — Vieux-Thann (Alsace)","Cheminées contemporaines","inserts-bois","Bois","Modbox","Modbox Bois","Modbox V100L","https://fondis.com/cheminees-contemporaines/inserts-3/","","","H 510 mm x L 980 mm","False","False","","True","False","Triple combustion, Boîte à fumée brevetée, Visiocéram® autonettoyant, Format panoramique","https://fondis.com/wp-content/uploads/2018/07/modbox-ombre-e1538986737542-768x994.jpg","propose"
"Fondis","Fondis","France — Vieux-Thann (Alsace)","Cheminées contemporaines","inserts-bois","Bois","Modbox","Modbox Bois","Modbox V100L Double face","https://fondis.com/cheminees-contemporaines/inserts-3/","","","H 510 mm x L 980 mm","True","False","2","True","False","Triple combustion, Boîte à fumée brevetée, Double face, Format panoramique, Visiocéram® autonettoyant","https://fondis.com/wp-content/uploads/2018/07/modbox-ombre-e1538986737542-768x994.jpg","propose"
"Fondis","Fondis","France — Vieux-Thann (Alsace)","Cheminées contemporaines","inserts-bois","Bois","Modbox","Modbox Bois","Modbox V50L","https://fondis.com/cheminees-contemporaines/inserts-3/","","","H 420 mm x L 480 mm","False","False","","True","True","Triple combustion, Boîte à fumée brevetée, Visiocéram® autonettoyant, Poignée froide silicone","https://fondis.com/wp-content/uploads/2025/03/20240725-8262-1-768x994.png","propose"
"Fondis","Fondis","France — Vieux-Thann (Alsace)","Cheminées contemporaines","inserts-bois","Bois","Modbox","Modbox Bois","Modbox V60 Double face","https://fondis.com/cheminees-contemporaines/inserts-3/","","","H 420 mm x L 580 mm","True","False","2","True","False","Triple combustion, Boîte à fumée brevetée, Double face, Visiocéram® autonettoyant","https://fondis.com/wp-content/uploads/2018/07/modbox-ombre-e1538986737542-768x994.jpg","propose"
"Fondis","Fondis","France — Vieux-Thann (Alsace)","Cheminées contemporaines","inserts-bois","Bois","Modbox","Modbox Bois","Modbox V60L","https://fondis.com/cheminees-contemporaines/inserts-3/","","","H 420 mm x L 580 mm","False","False","","True","False","Triple combustion, Boîte à fumée brevetée, Visiocéram® autonettoyant, Poignée froide silicone","https://fondis.com/wp-content/uploads/2025/03/20240725-8255-1-768x994.png","propose"
"Fondis","Fondis","France — Vieux-Thann (Alsace)","Cheminées contemporaines","inserts-bois","Bois","Modbox","Modbox Bois","Modbox V80L","https://fondis.com/cheminees-contemporaines/inserts-3/","","","H 510 mm x L 720 mm","False","False","","True","False","Triple combustion, Boîte à fumée brevetée, Visiocéram® autonettoyant, Poignée froide silicone","https://fondis.com/wp-content/uploads/2025/03/20240725-8324-2-768x994.png","propose"
"Fondis","Fondis","France — Vieux-Thann (Alsace)","Cheminées contemporaines","inserts-bois","Bois","Modbox","Modbox Bois","Modbox V80L Double face","https://fondis.com/cheminees-contemporaines/inserts-3/","","","H 510 mm x L 580 mm","True","False","2","True","False","Triple combustion, Boîte à fumée brevetée, Double face, Visiocéram® autonettoyant","https://fondis.com/wp-content/uploads/2018/07/modbox-ombre-e1538986737542-768x994.jpg","propose"
"Fondis","Trimline / Thermocet","Pays-Bas","Cheminées contemporaines","","Électrique","Solus","E Solus","Cheminée Électrique E Solus","https://fondis.com/cheminees-contemporaines/gamme-solus/","","28 à 62 W selon taille","","False","False","","False","False","Flamme LED réaliste, 15 modes couleur, Son crépitement réglable, Sans conduit","https://fondis.com/wp-content/uploads/2025/05/Solano-Elec-Stove-cut-out-452-768x991.jpg","propose"
"Fondis","Trimline / Thermocet","Pays-Bas","Cheminées contemporaines","","Électrique","Solus","iX Solus","Cheminée Électrique iX Solus","https://fondis.com/cheminees-contemporaines/gamme-solus/","","28 à 62 W selon taille","","False","False","","False","False","TruBurn holographique, Flamme ultra-réaliste, 15 modes couleur, Sans conduit","https://fondis.com/wp-content/uploads/2025/06/iX15-F-Cut21-768x991.jpg","propose"
"Fondis","Trimline / Thermocet","Pays-Bas","Cheminées contemporaines","","Électrique","Solus","Poêles Électriques","Poêles Électriques Solus","https://fondis.com/cheminees-contemporaines/gamme-solus/","","28 à 62 W","","False","False","","True","False","Mobile sans installation, Flamme LED/holographique, Sans conduit","https://fondis.com/wp-content/uploads/2025/05/Solano-Elec-Stove-cut-out-452-768x991.jpg","propose"
"Fondis","Thermocet","Pays-Bas","Cheminées contemporaines","","Gaz","Trimline","Trimline Gaz","Trimline 2050 OH","https://fondis.com/cheminees-contemporaines/gamme-trimline/","","","H 450 mm x L 555 mm","False","False","4","False","False","Vue 4 faces totale","https://fondis.com/wp-content/uploads/2018/01/trimline_poele-a-gaz-768x895.png","propose"
"Fondis","Thermocet","Pays-Bas","Cheminées contemporaines","","Gaz","Trimline","Trimline Gaz","Trimline 70 SL","https://fondis.com/cheminees-contemporaines/gamme-trimline/","","","H 406 mm x L 706 mm","False","False","","False","True","","https://fondis.com/wp-content/uploads/2018/01/trimline_poele-a-gaz-768x895.png","propose"
"Fondis","Thermocet","Pays-Bas","Cheminées contemporaines","","Gaz","Trimline","Trimline Gaz","Trimline Brûleurs Céramique","https://fondis.com/cheminees-contemporaines/gamme-trimline/","","","","False","False","","False","False","","https://fondis.com/wp-content/uploads/2018/01/trimline_poele-a-gaz-768x895.png","propose"
"Fondis","Thermocet","Pays-Bas","Cheminées contemporaines","","Gaz","Trimline","Trimline Gaz","Trimline Poêle 38 FS","https://fondis.com/cheminees-contemporaines/gamme-trimline/","","","H 625 mm x L 380 mm","False","False","","False","False","","https://fondis.com/wp-content/uploads/2018/01/trimline_poele-a-gaz-768x895.png","propose"
"Fondis","Thermocet","Pays-Bas","Cheminées contemporaines","","Gaz","Trimline","Trimline Gaz","Trimline T100","https://fondis.com/cheminees-contemporaines/gamme-trimline/","","","H 378 mm x L 1001 mm","False","False","","False","False","","https://fondis.com/wp-content/uploads/2018/01/trimline_poele-a-gaz-768x895.png","propose"
