"brand","categoryLabel","series","name","sourceUrl","puissanceNominaleKw","zoneFonctionnementKw","rendementPourcent","surfaceChauffeeM2","poidsKg","imageUrl"
"TermaTech","Poêles à bois","Série TT20","TT20BAZIC R","https://termatech.com/fr/poeles/tt20bazic-r/","5,0","3-7","81","30-120","99","https://termatech.com/wp-content/uploads/2022/10/TT20BAZIC-R_Pack.webp"
"TermaTech","Poêles à bois","Série TT20","TT20R","https://termatech.com/fr/poeles/tt20r/","5,0","3-7","81","30-120","117","https://termatech.com/wp-content/uploads/2022/10/TT20R_Pack.webp"
"TermaTech","Poêles à bois","Série TT21","TT21 Classic","https://termatech.com/fr/poeles/tt21-classic/","5,0","3-7","81","30-120","103","https://termatech.com/wp-content/uploads/2026/03/TT21-Classic-transparent.webp"
"TermaTech","Poêles à bois","Série TT21","TT21R","https://termatech.com/fr/poeles/tt21r/","5,0","3-7","81","30-120","126","https://termatech.com/wp-content/uploads/2023/05/TT21R_Pack.webp"
"TermaTech","Poêles à bois","Série TT21","TT21RH","https://termatech.com/fr/poeles/tt21rh/","5,0","3-7","81","30-120","136","https://termatech.com/wp-content/uploads/2023/05/TT21RH_Pack.webp"
"TermaTech","Poêles à bois","Série TT21","TT21RHS, Pierre ollaire","https://termatech.com/fr/poeles/tt21rhs/","5,0","3-7","81","30-120","189","https://termatech.com/wp-content/uploads/2023/05/TT21RHS-Fedtsten_Pack.webp"
"TermaTech","Poêles à bois","Série TT21","TT21RHS-HST, Pierre ollaire","https://termatech.com/fr/poeles/tt21rhs-heatstorage/","5,0","3-7","81","30-120","280","https://termatech.com/wp-content/uploads/2023/05/TT21RHS-HST-Fedtsten_Pack.webp"
"TermaTech","Poêles à bois","Série TT21","TT21RHT","https://termatech.com/fr/poeles/tt21rht/","5,0","3-7","81","30-120","145 + 48 kg de Powerstone","https://termatech.com/wp-content/uploads/2023/05/TT21RHT_Pack.webp"
"TermaTech","Poêles à bois","Série TT21","TT21RL","https://termatech.com/fr/poeles/tt21rl/","5,0","3-7","81","30-120","121","https://termatech.com/wp-content/uploads/2023/05/TT21RL_Pack.webp"
"TermaTech","Poêles à bois","Série TT21","TT21RS Black, Pierre peinte","https://termatech.com/fr/poeles/tt21rs-black/","5,0","3-7","81","30-120","174","https://termatech.com/wp-content/uploads/2023/05/TT21RS-Black-Sandsten_Pack-1.webp"
